CODE_SP;FAMILLE;NOM_LATIN;NOM_COMMUN;STATUT;FH;FD;TROPH;FE;ED;REPRO;TL;OXY;HAB;QUAL;TEMP;TMAX
ABH;Cyprinidae;Leucaspius.delineatus;Able.de.Heckel;NAT;PELA;OMNI;3.24;FE1;ED1;LI;90;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;35.47
ABL;Cyprinidae;Alburnus.alburnus;Ablette;NAT;PELA;INVER;2.7;FE1;ED2;LI;250;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;34.46
ANG;Anguillidae;Anguilla.anguilla;Anguille;NAT;BENT;CARNI;3.62;FE3;ED1;LI;1330;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;35.12
BAF;Cyprinidae;Barbus.barbus;Barbeau.fluviatile;NAT;BENT;INVER;3.1;FE2;ED2;RH;1200;TOL.OXY;INTOL.HAB;INTOL.QUAL;EURY;33.1
BAM;Cyprinidae;Barbus.meridionalis;Barbeau.meridional;NAT;BENT;OMNI;2.93;FE2;ED2;RH;253;TOL.OXY;INTOL.HAB;INTOL.QUAL;EURY;33.99
BBG;Centrarchidae;Micropterus.salmoides;Black.bass.a.grande.bouche;EXO;PELA;CARNI;4.42;FE2;ED2;LI;970;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;35.66
BLN;Cyprinidae;Telestes.souffia;Blageon;NAT;PELA;INVER;3.37;FE1;ED2;RH;240;INTOL.OXY;INTOL.HAB;INTOL.QUAL;EURY;33.18
BOU;Cyprinidae;Rhodeus.amarus;Bouviere;NAT;PELA;OMNI;2.95;FE1;ED3;LI;100;TOL.OXY;INTOL.HAB;NA;EURY;34.1
BRB;Cyprinidae;Blicca.bjoerkna;Breme.bordeliere;NAT;BENT;OMNI;3.09;FE3;ED2;LI;360;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;30.86
BRE;Cyprinidae;Abramis.brama;Breme;NAT;BENT;INVER;3.15;FE3;ED2;LI;820;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;30.32
BRO;Esocidae;Esox.lucius;Brochet;NAT;PELA;PISCI;4.4;FE2;ED3;LI;1500;TOL.OXY;INTOL.HAB;NA;EURY;28.98
CAS;Cyprinidae;Carassius.carassius;Carassin;EXO;BENT;OMNI;3.11;FE3;ED2;LI;640;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;31.41
CCO;Cyprinidae;Cyprinus.carpio;Carpe.commune;EXO;BENT;OMNI;3.05;FE3;ED2;LI;1200;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;36.44
CHA;Cottidae;Cottus.gobio;Chabot;NAT;BENT;INVER;3.28;FE1;ED3;RH;180;INTOL.OXY;INTOL.HAB;INTOL.QUAL;STENO;30.32
CHE;Cyprinidae;Squalius.cephalus;Chevaine;NAT;PELA;OMNI;3.61;FE3;ED2;RH;600;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;34.8
EPI;Gasterosteidae;Gasterosteus.aculeatus;Epinoche;NAT;PELA;INVER;3.38;FE1;ED2;LI;110;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;31.28
EPT;Gasterosteidae;Pungitius.pungitius;Epinochette;NAT;PELA;INVER;3.35;FE1;ED1;LI;90;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;28.36
GAM;Poeciliidae;Gambusia.affinis;Gambusie;EXO;PELA;INVER;3.22;FE1;ED2;LI;70;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;40.23
GAR;Cyprinidae;Rutilus.rutilus;Gardon;NAT;PELA;OMNI;2.87;FE2;ED2;NA;520;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;30.71
GOU;Cyprinidae;Gobio.gobio;Goujon;NAT;BENT;INVER;3.13;FE1;ED2;RH;200;TOL.OXY;TOL.HAB;NA;EURY;29
GRE;Percidae;Gymnocephalus.cernua;Gremille;NAT;BENT;CARNI;3.26;FE3;ED1;LI;250;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;30.09
HOT;Cyprinidae;Chondrostoma.nasus;Hotu;NAT;BENT;OMNI;2;FE2;ED3;RH;500;TOL.OXY;INTOL.HAB;INTOL.QUAL;EURY;34.03
LOF;Balitoridae;Barbatula.barbatula;Loche.franche;NAT;BENT;INVER;3.45;FE1;ED1;RH;210;TOL.OXY;TOL.HAB;NA;EURY;33.29
LOR;Cobitidae;Cobitis.taenia;Loche.de.riviere;NAT;BENT;INVER;NA;FE1;ED2;RH;135;TOL.OXY;TOL.HAB;NA;EURY;33.76
LOT;Lotidae;Lota.lota;Lote.de.riviere;NAT;BENT;CARNI;4.05;FE3;ED1;NA;1520;INTOL.OXY;INTOL.HAB;NA;STENO;28.99
OBR;Salmonidae;Thymallus.thymallus;Ombre.commun;NAT;PELA;INVER;3.14;FE1;ED3;RH;600;INTOL.OXY;INTOL.HAB;INTOL.QUAL;STENO;29.11
PCH;Ictaluridae;Ameiurus.melas;Poisson.chat;EXO;BENT;OMNI;3.49;FE1;ED2;LI;660;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;36.76
PER;Percidae;Perca.fluviatilis;Perche;NAT;PELA;CARNI;3.66;FE2;ED2;NA;510;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;31.79
PES;Centrarchidae;Lepomis.gibbosus;Perche.soleil;EXO;PELA;INVER;3.27;FE2;ED1;LI;400;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;35.86
PSR;Cyprinidae;Pseudorasbora.parva;Pseudorasbora;EXO;PELA;INVER;3.22;FE1;ED1;LI;110;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;33.5
ROT;Cyprinidae;Scardinius.erythrophtalmus;Rotengle;NAT;PELA;OMNI;2.89;FE3;ED2;LI;510;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;34.94
SAN;Percidae;Sander.lucioperca;Sandre;EXO;PELA;CARNI;4.04;FE3;ED1;RH;1300;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;34.4
SAT;Salmonidae;Salmo.salar;Saumon.atlantique;NAT;PELA;CARNI;3.76;FE1;ED3;RH;1500;INTOL.OXY;INTOL.HAB;INTOL.QUAL;STENO;31.1
SDF;Salmonidae;Salvelinus.fontinalis;Saumon.de.fontaine;EXO;PELA;CARNI;3.74;FE1;ED3;RH;860;INTOL.OXY;INTOL.HAB;INTOL.QUAL;STENO;29.57
SIL;Siluridae;Silurus.glanis;Silure.glane;EXO;BENT;CARNI;4.12;FE3;ED3;NA;5000;TOL.OXY;TOL.HAB;TOL.QUAL;EURY;36.15
SPI;Cyprinidae;Alburnoides.bipunctatus;Spirlin;NAT;PELA;OMNI;2.89;FE1;ED2;RH;160;INTOL.OXY;INTOL.HAB;INTOL.QUAL;STENO;NA
TAN;Cyprinidae;Tinca.tinca;Tanche;NAT;BENT;OMNI;3.27;FE3;ED1;LI;700;TOL.OXY;INTOL.HAB;TOL.QUAL;EURY;34.34
TOX;Cyprinidae;Parachondrostoma.toxostoma;Toxostome;NAT;BENT;OMNI;2.79;FE2;ED2;RH;300;TOL.OXY;INTOL.HAB;INTOL.QUAL;EURY;34.17
TRF;Salmonidae;Salmo.trutta.fario;Truite.de.riviere;NAT;PELA;CARNI;3.8;FE1;ED3;RH;1400;INTOL.OXY;INTOL.HAB;INTOL.QUAL;STENO;29.46
VAI;Cyprinidae;Phoxinus.phoxinus;Vairon;NAT;PELA;INVER;3.27;FE1;ED2;RH;140;INTOL.OXY;TOL.HAB;NA;EURY;29.52
VAN;Cyprinidae;Leuciscus.leuciscus;Vandoise;NAT;PELA;OMNI;2.93;FE2;ED2;RH;400;TOL.OXY;TOL.HAB;INTOL.QUAL;EURY;32.57
